step,name,nu,kappa,rho,bar,delta,source,candidates,raw_candidates,canonical_candidates,dedupe_ratio,best_canonical_key,k_desugar,k_entry,k_bitcost,canonical_key,bit_kappa,ast_nodes,decoded_name?,decode_confidence,decode_ambiguity,decode_status
1,Universe,1,2,0.5000,0.5000,1,ENUM_MBTT,7,2144,552,0.2575,4be4339c,2,2,19,4be4339c,19,5,Universe U₀,1.0000,,exact_isomorphism
2,Unit,1,1,1.0000,0.5000,1,ENUM_MBTT,27,96,78,0.8125,ccc190f7,1,1,15,ccc190f7,15,4,Unit type 1,0.9900,,exact_isomorphism
3,Witness,2,1,2.0000,1.3333,2,ENUM_MBTT,4,96,81,0.8438,bf3d8e10,1,1,10,bf3d8e10,10,3,Unit witness ★,0.9800,,exact_isomorphism
4,Pi,5,3,1.6667,1.5000,3,ENUM_MOLECULAR,1,1,1,1.0000,0e9aa132,3,3,49,0e9aa132,49,13,Dependent function space,0.9000,Dependent product,ambiguous
5,S1,7,3,2.3333,2.1429,5,ENUM_MOLECULAR,1,1,1,1.0000,007072b4,6,6,93,007072b4,93,23,Circle HIT S¹,0.9600,,exact_isomorphism
6,S2,10,3,3.3333,2.5600,8,ENUM_MOLECULAR,2,3,3,1.0000,66fc6f85,6,6,99,66fc6f85,99,23,2-sphere HIT S²,0.9500,,exact_isomorphism
7,S3,18,5,3.6000,3.2500,13,ENUM_MOLECULAR,1,1,1,1.0000,34aa6a6b,8,8,113,34aa6a6b,113,27,3-sphere HIT S³,0.9500,,exact_isomorphism
8,Hopf,17,4,4.2500,3.9487,21,ENUM_MOLECULAR,1,1,1,1.0000,aa3670a3,4,4,88,aa3670a3,88,14,Hopf fibration,0.9200,Principal S¹-bundle over S²,ambiguous
9,Cohesion,18,4,4.5000,4.4892,34,ENUM_MOLECULAR,1,2,2,1.0000,001ef17a,4,4,61,001ef17a,61,8,Cohesive modality layer,0.8500,Modal context,ambiguous
10,Connections,26,5,5.2000,4.9152,55,ENUM_MOLECULAR,1,2,2,1.0000,35640d23,5,5,114,35640d23,114,26,Connection structure,0.8800,,exact_isomorphism
11,Curvature,34,6,5.6667,5.4809,89,ENUM_MOLECULAR,1,5,5,1.0000,12323598,6,6,147,12323598,147,30,Curvature structure,0.8800,,exact_isomorphism
12,Metric,46,7,6.5714,6.0783,144,ENUM_MOLECULAR,1,4,4,1.0000,f548ea45,7,7,177,f548ea45,177,39,Metric structure,0.9000,,exact_isomorphism
13,Hilbert,62,9,6.8889,6.8032,233,ENUM_MOLECULAR,1,6,6,1.0000,c76dcc79,9,9,217,c76dcc79,217,47,Hilbert-space layer,0.9000,,exact_isomorphism
14,DCT,99,8,12.3750,7.5406,377,ENUM_MOLECULAR,1,4,4,1.0000,3dc2c8d8,8,8,229,3dc2c8d8,229,39,Dynamical cohesive topos,0.9100,Temporal cohesive synthesis,ambiguous
