step,status,bar,raw_candidates,viable_candidates,guidance_mode,admissibility_kappa_cap,searched_kappa_bands,selected_kappa_band,step_budget_s,elapsed_s,evaluated_candidates,deduped_candidates,minimality_rejections,best_obligation_score,best_interface_density,best_genericity_score,best_closure_score,frontier_candidates,frontier_kept,mcts_seed_states,mcts_completed_states,retry_tier,retry_cause,required_family,best_family_rho,best_family_kappa,family_candidate_count,family_viable_count,selected_name,selected_nu,selected_kappa,selected_rho,selected_source,runner_1,runner_2,runner_3,agenda_expanded,agenda_sigma_prunes,agenda_dominance_prunes,agenda_critic_transitions,agenda_action_failures,agenda_near_misses
1,selected,0.5000,2144,7,honest-strict,2,2,2,10,0.3058,552,552,0,,,,,1047,1024,0,0,0,,,,,0,0,Universe,1,2,0.5000,ENUM_MBTT,,,,0,0,0,0,0,0
2,selected,0.5000,96,27,honest-strict,1,1,1,15,0.0050,78,78,0,,,,,89,89,0,0,0,,,,,0,0,Unit,1,1,1.0000,ENUM_MBTT,,,,0,0,0,0,0,0
3,selected,1.3333,96,4,honest-strict,1,1,1,20,0.0081,81,81,0,,,,,88,88,0,0,0,,,,,0,0,Witness,2,1,2.0000,ENUM_MBTT,,,,0,0,0,0,0,0
4,selected,1.5000,1,1,honest-strict,3,3,3,30,0.0000,1,1,0,,,,,1,1,0,0,0,,,,,0,0,Pi,5,3,1.6667,ENUM_MOLECULAR,,,,0,0,0,0,0,0
5,selected,2.1429,1,1,honest-strict,3,3,3,45,0.0000,1,1,0,,,,,1,1,0,0,0,,,,,0,0,S1,7,3,2.3333,ENUM_MOLECULAR,,,,0,0,0,0,0,0
6,selected,2.5600,3,2,honest-strict,4,3,3,60,0.0000,3,3,0,,,,,3,3,0,0,0,,,,,0,0,S2,10,3,3.3333,ENUM_MOLECULAR,Trunc|8|3|2.6667|ENUM_MOLECULAR,,,0,0,0,0,0,0
7,selected,3.2500,1,1,honest-strict,5,5,5,75,0.0010,1,1,0,,,,,1,1,0,0,0,,,,,0,0,S3,18,5,3.6000,ENUM_MOLECULAR,,,,0,0,0,0,0,0
8,selected,3.9487,1,1,honest-strict,5,4,4,90,0.0000,1,1,0,,,,,1,1,0,0,0,,,,,0,0,Hopf,17,4,4.2500,ENUM_MOLECULAR,,,,0,0,0,0,0,0
9,selected,4.4892,2,1,honest-strict,5,4,4,105,0.0000,2,2,0,,,,,2,2,0,0,0,,,,,0,0,Cohesion,18,4,4.5000,ENUM_MOLECULAR,,,,0,0,0,0,0,0
10,selected,4.9152,2,1,honest-strict,6,5,5,120,0.0000,2,2,0,,,,,2,2,0,0,0,,,,,0,0,Connections,26,5,5.2000,ENUM_MOLECULAR,,,,0,0,0,0,0,0
11,selected,5.4809,5,1,honest-strict,6,5|6,6,135,0.0060,5,5,0,,,,,5,5,0,0,0,,,,,0,0,Curvature,34,6,5.6667,ENUM_MOLECULAR,,,,0,0,0,0,0,0
12,selected,6.0783,4,1,honest-strict,8,7,7,150,0.0000,4,4,0,,,,,4,4,0,0,0,,,,,0,0,Metric,46,7,6.5714,ENUM_MOLECULAR,,,,0,0,0,0,0,0
13,selected,6.8032,6,1,honest-strict,9,8|9,9,165,0.0111,6,6,0,,,,,6,6,0,0,0,,,,,0,0,Hilbert,62,9,6.8889,ENUM_MOLECULAR,,,,0,0,0,0,0,0
14,selected,7.5406,4,1,honest-strict,9,8,8,180,0.0000,4,4,0,,,,,4,4,0,0,0,,,,,0,0,DCT,99,8,12.3750,ENUM_MOLECULAR,,,,0,0,0,0,0,0
15,no_viable,9.1777,5,0,honest-strict,9,8|9,,195,0.0000,5,5,0,,,,,5,5,0,0,0,,,,,0,0,,,,,,,,,0,0,0,0,0,0
