kappa_scalar,kappa_full,v1_rho,v1_pass,v2_rho_comparison_only,v3_delta_nu_min_for_pass,v3_rho_with_delta20,v3_pass_with_delta20
1,8,5.75,False,6.571428571428571,2,8.25,True
2,9,5.111111111111111,False,6.571428571428571,8,7.333333333333333,True
3,10,4.6,False,6.571428571428571,14,6.6,True
4,11,4.181818181818182,False,6.571428571428571,20,6.0,True
5,12,3.8333333333333335,False,6.571428571428571,26,5.5,False
6,13,3.5384615384615383,False,6.571428571428571,32,5.076923076923077,False
7,14,3.2857142857142856,False,6.571428571428571,38,4.714285714285714,False
8,15,3.066666666666667,False,6.571428571428571,44,4.4,False
9,16,2.875,False,6.571428571428571,50,4.125,False
10,17,2.7058823529411766,False,6.571428571428571,56,3.8823529411764706,False
11,18,2.5555555555555554,False,6.571428571428571,62,3.6666666666666665,False
12,19,2.4210526315789473,False,6.571428571428571,68,3.473684210526316,False
